Move,History (PGN),Commentary,Eval Before,Eval After,Delta,Top K Best Moves
c5,e4,I opened with the Sicilian Defense. As I use to against 1.e4.,-28,25,53.0,g1f3
Bb5,e4 c5 Nc3 e6 f4 d5 Nf3 Nc6,The bishop if allowed will hack off this knight and makes space for white to castle quickly,17,-17,-34.0,"g8e7, e4d5, e6d5"
c6,e4 e5 Nf3 Nc6 Bb5 Nf6 O-O Nxe4 d4 Nd6 Bxc6 dxc6 dxe5 Nf5 Qxd8+ Kxd8 Nc3 Be7 Bg5 h6 Rad1+ Bd7 Bxe7+ Nxe7 Rfe1 Ke8 Nd4 Rd8 h3 Bc8 Rd3 a6 Red1 g6 Ne4 Nf5 g4 Nxd4 Nf6+ Ke7 Rd3xd4 Rxd4 Rxd4 Ke6 f4 g5 Nh5 Rg8 Nf6 Rh8 Kg2 b6 Kf3 c5 Rd2 Bb7+ Ke3 Bc6 c4 Ke7 Nd5+ Bxd5 Rxd5 gxf4+ Kxf4 Ke6 Rd2 a5 b3 Rf8 Rd5 f6 exf6 Rxf6+ Rf5,Play by both sides gets a little ragged at this point. 38.… Rg6 39.h4 Rg8 40.Rh5 Rf8+ 41.Ke4 Rf6 presents a tougher nut to crack.,-222,432,654.0,"f5f6, e6f6, h3h4"
Qe2,e4 e5 Bc4 Qe7 Nf3 d6 h3 Be6 d3 Bxc4 dxc4 h6 Nc3 c6 a3 Nd7 b4 Nb6,Queen to defend,-5,15,20.0,"e7e6, f3d2, f8e7"
Rac8,d4 d5 Nf3 Nf6 Bf4 Bf5 e3 e6 Bd3 Bd6 Ne5 Bxe5 dxe5 Ne4 Nd2 O-O h3 h6 Qe2 Nxd2 Qxd2 Bxd3 cxd3 c5 O-O Nc6 a3 Qc7 Rac1 b6 b4 Nxe5 d4 Nc4 Rxc4 Qxf4 exf4 dxc4 bxc5 bxc5 dxc5,"I wanted to protect my pawn with the queen first, and the rook later. The key was in not exposing my queen to unnecessary attacks. I wanted it to be somewhere on the side, where it guards unobtrusively, while allowing the rook to guard from beind. Then there should be no shenenigans.",-622,616,1238.0,"d2b4, f8d8, b4c4"
c5,d4 Nf6 c4 e6 Nc3 d5 Bg5 Be7 e3 h6 Bh4 O-O Rc1 c6 Bd3 Nbd7 Nf3 dxc4 Bxc4 Nd5 Bg3 Nxc3 bxc3,"?! Non è il mio interesse principale commentare l'apertura di questa partita, la cui immortale bellezza arriva più avanti, ma qui secondo i criteri moderni era migliore Alternative variation: 12...b6 [!?=/]",-29,65,94.0,"e1g1, a7a6, a2a4"
Nc6,e4 e5 c3 Nf6 d3,Got both my knights out,26,-25,-51.0,"g1f3, d7d5"
Nxd5,e3 c5 c4 Nc6 Qb3 e6 Bd3 Nf6 h3 d5 cxd5,If he's not careful Kdb4 is coming..,167,-72,-239.0,"g1f3, f8e7, e1g1"
f6,e4 e5 Nf3 Nc6 d4 exd4 Nxd4 Bc5 Nb3 Bb6 a4 a5 Nc3 Nge7 Be2 d6 O-O Be6 Nd5 Ba7 Bb5 O-O Nxe7+ Nxe7 Bg5 Bxb3 cxb3,"Looking at my pawn structure, it appears I should have kept pieces on the board. My rooks can't double on the open e-file and now I'm weak on the light squares...",-12,45,57.0,"g5d2, c7c6, b5c4"
Rg2,e4 c6 d4 d6 c4 a6 Nc3 b5 f4 e6 Nf3 b4 Na4 d5 e5 dxc4 Bxc4 Ne7 O-O Nd5 Qe1 Qa5 b3 Qc7 Qg3 Nd7 Nh4 Nd7b6 Nb2 Nc3 Bd2 Nxc4 Bxc3 Nxe5 fxe5 bxc3 Qxc3 Qb6 Nc4 Qd8 Nf3 Bd7 Rf2 Be7 Na5 Qb6 Nc4 Qc7 Raf1 O-O Qe3 c5 h4 cxd4 Qe4 Bc6 Qd3 Bd5 Nd6 Bxf3 Rf2xf3 Bxd6 exd6 Qxd6 Qe4 Rac8 h5 Qc5 h6 g6 Qf4 f5 Re1 Kf7 Rd3 Rfe8 Re5 Qc1+ Qxc1 Rxc1+ Kh2 Rd8 Ra5 Rd6 Ra4 e5 Rb4 Rdc6 Rb7+ Rc6c7 Rb6 Rc1c6 Rb8 Kf6 Rg3 e4 Rf8+ Rf7 Rd8 d3 Kh3 g5 Re3 Ke5 g4 Rxh6+ Kg2 Kf4 Rg3 Rc6 gxf5 g4 Kh2 Rxf5,"At this point, the rest moves for white were conditional moves. Longest mate was 3 moves and 3 variations.",-789,Mate,,"f5h5, h2g1, c6c1"
g4,d4 Nf6 Nc3 d5 Bf4 e6 Nb5 Na6 e3 Be7 h4 O-O Nf3 c6 Nc3 Qb6 a3 c5 Bxa6 Qxa6 h5 h6,Now 12... Nh7 favors Black slightly. If 12... Bd7 13. g5 is winning.,12,0,-12.0,f6h7
Ng6,b4 e5 e3 Bd6 d4 f6 c4 Ne7 dxe5 fxe5 a4 O-O f4 exf4 exf4,Knight,266,-254,-520.0,"g2g3, d6b4, c1d2"
Nf6,e4 e5 Nf3,Inviting Nxe5...,-31,36,67.0,"f3e5, d7d6, e5f3"
Qg4+,e4 e5 Nf3 Nc6 d4 exd4 Nxd4 Bc5 Be3 Qf6 c3 Nge7 Bc4 Ne5 Bb3 d6 Nd2 Nd3+ Ke2 Nf4+ Kf1 O-O Qf3 Neg6 Bxf4 Nxf4 Ne2 Nxe2 Qxe2 Bg4 f3 Rae8 Qd3 c6 Bc2 Qh4 Qe2 Bc8 Nb3 Bb6 a4 a5 Nd4 f5 Qd2 fxe4 Re1 exf3 Rxe8 fxg2+ Kxg2 Bh3+ Kg1,"27. …… Qg4+ - white waves the white flag as he can only interpose his queen on the next turn. Glenda will just zap her off and deliver mate on g2. What a game! I will soon be writing about another game, carefully compiled by one of my buddies but for now enjoy! Kind regards - Joanne",Mate,Mate,,"d2g2, g4g2"
Bg5,d4 Nf6 c4 g6 Nc3 Bg7 e4 d6 Nf3 O-O Be2 e5 O-O Nc6 d5 Ne7 Ne1 Nd7 f3 f5 g4 Nf6,And here I was out of book and loss for ideas...,56,-10,-66.0,"f5g4, f3g4"
Kg4,Nf3 d6 d4 Nc6 c4 g6 Nc3 Bg7 e3 Nf6 Bd3 O-O a3 b6 O-O e6 b4 a6 b5 axb5 Nxb5 d5 Bd2 Ne7 Bb4 c6 Nc3 Ba6 c5 Bxd3 Qxd3 b5 Ne5 Qc7 Rfe1 Nf5 Nxc6 Qxc6 Qxb5 Qxb5 Nxb5 Rab8 Nd6 Ne4 Nxf5 exf5 f3 Ng5 c6 Ne6 Red1 Bh6 Kf2 f4 e4 dxe4 fxe4 Rfc8 d5 Bg7 Rab1 Nc7 d6 Ne6 c7 Rba8 Rd5 Bf6 Ra5 Bd4+ Kf3 Ba7 e5 Nd4+ Ke4 Nc6 Rd5 f5+ Kxf4 Kf7 Bc5 Ke6 Rbd1 Bxc5 Rxc5 Kd7 e6+ Kxe6 Rxc6 Kd7 Rc3 Ra6 Rcd3 Rca8 Ke5 Ra6xa3 c8=Q+ Kxc8 d7+ Kd8 Rd3d6 Re3+ Kf6 Ra7 Kg7 Re2 Rd1d2 Rxd2 Rxd2 Rxd7+ Rxd7+ Kxd7 Kxh7 Ke6 Kxg6 Ke5 h4 f4 h5 f3 gxf3 Kf4 h6 Kxf3 h7 Ke4 h8=Q Ke3 Qd8 Ke4 Kf6 Kf4 Qd4+ Kf3 Kf5 Kg3 Qe3+ Kg2,mate in three,Mate,Mate,,"g2f1, e3d2, f1g1"
Kf5,b3 e5 Bb2 Nc6 g3 d5 Bg2 Nf6 e3 Bc5 Ne2 e4 O-O O-O Bxf6 Qxf6 c3 Ne5 d4 Nf3+ Bxf3 exf3 Nf4 Bd6 Qxf3 Bxf4 exf4 Bf5 Qxd5 c6 Qf3 Qh6 Nd2 Qh3 Qg2 Qg4 Nc4 Rfe8 Nd6 Re7 Rae1 Rd7 Nxf5 Qxf5 Re5 Qd3 Qe4 Qxe4 Rxe4 f6 Rfe1 Kf7 f5 Rad8 c4 b5 cxb5 cxb5 Rd1 Rd7d5 Rh4 h6 Rc1 Rd8d7 b4 Rxf5 Rc5 Rfd5 Rxd5 Rxd5 a3 f5 Rf4 g5 Rf3 Kf6 Rd3 g4 Kg2 h5 h3 Kg6 f3 Kg5 h4+ Kf6 fxg4 fxg4 Kf2 Kf5 Ke3 a6 Rc3 Rd6 Rc5+ Kg6 d5,"Black loses a tempo here as he is forced to go back. 49...Kf7 is better, and then coming up to f6 when the White king advances.",-398,430,828.0,"e3d4, d6d8, c5c1"
e4,d4 e6,Which I accept.,28,-29,-57.0,"d7d5, b1c3"
Rb8,e4 e5 Nf3 Nc6 a3 Nf6 d3 Ng4 h3 Nxf2 Kxf2 Bc5+ Ke2 Nd4+ Nxd4 exd4 Qd2 O-O Kd1 Qh4 Qg5 Qxg5 Bxg5,Like I said the game is over...,-389,457,846.0,"g5f4, d7d6, f1e2"
Nd7,e4 d6 d4 Nf6 Nc3 c6 f4 Qa5 e5 Ne4 Qf3 Nxc3 Bd2 Bf5 Bd3 Bxd3 cxd3 Qd5 bxc3 dxe5 fxe5 Qxf3 Nxf3 e6 Ke2,"The Rooks must come into play to take the initiative. Hans Kmoch wrote ""The greater the rearspan leads to seizing of the open file.""",-104,112,216.0,a2a4
Qxa8,e4 d5 exd5 Qxd5 Nc3 Qd8 Nf3 Nf6 Bc4 Nc6 O-O e6 d3 Bc5 Bf4 O-O Re1 Re8 Qe2 Bd7 Rad1 a5 a4 Ng4 h3 Nf6 Nb5 Nb4 c3 Nbd5 Qe5 Nb6 d4 Nxc4 Qxc5 Nb6 Re5 Bc8 Re2 Nbd5 Bxc7 Nxc7 Nxc7 Re7 Nxa8 Bd7 Qa7 Bxa4 Qxa5 Bc6 Qb6,with White up material,-328,337,665.0,"d4d5, f6d5, b6d4"
Bg2,h4 d5 Nf3 Nf6 Ne5 Ne4 f3 c6 fxe4 dxe4 g4 f6,bishop,225,61,-164.0,"d8d4, b1c3, d4e5"
Qxd2,e4 c6 Nf3 d5 d3 Bg4 h3 Bxf3 Qxf3 e5 c3 Nf6 Be2 Be7 O-O O-O c4 d4 Qg3 Nfd7 f4 Bh4 Qg4 Be7 f5 Nf6 Qg3 Nbd7 Bh6 g6 Bxf8 Nxf8 Nd2 Nf8d7 Rfb1 b5 b4 a5 a4 Bxb4 Ra2 Bxd2 Rxd2 bxc4 dxc4 Nxe4 Qe1 Nxd2,"I deliberated, take the pawn, don't take the pawn. It made me edgy so close to the king, so I thought I would take it and then if forced, trade the queens to remove the checking threats.",-389,377,766.0,"d7c5, b1f1, d4d3"
Kf3,d4 Nf6 c4 e6 a3 c5 e3 d5 Nf3 cxd4 Nxd4 Nc6 cxd5 exd5 Bb5 Bd7 Nc3 Bd6 Nf3 O-O Nxd5 Nxd5 Qxd5 Bh3 Bxc6 bxc6 Qd1 Bxg2 Rg1 Bxf3 Qxf3 Be5 Qg4 Rb8 f4 Bf6 Rb1 Qd3 Ra1 Rfd8 Rg2 Bc3+ Kf2 Bxb2 Bxb2 Rxb2+,tougher is Kg1,-478,Mate,,"d3d5, f3g3, b2g2"
dxc5,d4 Nf6 c4 e6 Nc3 c5,!? but here I was out of book. I know that if White plays 4. Nf3 or 4. g3 it transposes to the English opening which I was ready to encounter if played.,101,15,-86.0,f8c5
Rc1,c4 e5 Nc3 Nf6 g3 Bc5 Bg2 Nc6 e4 d6 Nge2 Be6 O-O Bxc4 d3 Be6 a3 O-O b4 Bb6 Bb2 Nd4,"looked at Bb3 here but was not convinced, went for a more stable idea that brings things to a head",-179,202,381.0,"a7a5, h2h3, c7c6"
Bxb7,d4 d5 c4 c6 Nf3 Nf6 g3 e6 Bg2 Nbd7 O-O Be7 Qc2 Ne4 Nfd2 Nxd2 Nxd2 O-O e4 dxe4 Nxe4 Nf6 Rd1 Nxe4 Bxe4 h6 Be3 Qa5 Qe2 Rd8 h4 f5 Bg2 Bf6 Qh5 Bd7 Qe2 Be8 Bd2 Qa6 Bc3 Bf7 b3 c5 Qb2 cxd4 Bxd4 Bxd4 Rxd4 Qb6 Rad1 Bh5 Rd4d7 Bf7 Rd1d6 Qxd6 Rxd6 Rxd6,18 min remainder,153,-168,-321.0,"a8d8, c4c5"
c4,d4 Nf6 Bf4 c5 e3 Nd5 Bg3 Qb6 Qc1 cxd4 exd4 Qxd4 Nf3 Qe4+ Be2 b6 Nbd2 Qg6 O-O Nc6 Re1 e6 Bd3 Qh6 Qd1 Be7 Ne4 O-O Nd6 f5 Nxc8 Raxc8 c3 f4 Bxf4 Qxf4 Bc2 Bc5 Qd3 Qh6,?? 2nd mistake? and I would grade it as the losing move?,-480,557,1037.0,"d5b4, d3h7, h6h7"
d4,d4 Nf6 e3 g6 c3 Bg7 Bc4 O-O Nd2 d5 Bd3 Nbd7 h3 c5 Ngf3 Re8 dxc5 Nxc5 Bc2 e5 O-O b6 Nb3 Nxb3 Bxb3 Bb7 Bc2 Qc7 b4 Rad8 Bd2 Ne4 Ba4 Re7 Rc1 Qd6 Qe2 a6 Rfd1 b5 Bb3 Qc7 Be1 Red7 a4 Bc6 axb5 axb5 Qb2 Qb7 h4,the answer to a wing attack is a well prepared center attack. or so the pundits say.,123,84,-39.0,"c3d4, e5d4, f3d4"
Nc3,e4 e6 d4 d5 e5 c5 c3 Nc6 Nf3 Qb6 Bd3 Bd7 O-O cxd4 cxd4 Nxd4 Nxd4 Qxd4,End of opening book.,-58,78,136.0,"a7a6, f1e1, a8c8"
Bd7,e4 c5 Nf3 d6 c3 Nf6 Be2 Nc6 d4 Nxe4 d5 Nxf2 Kxf2 Ne5 Nxe5 dxe5 Bb5+,White to play.,-347,335,682.0,"d1a4, e7e6, d5e6"
Be6,e4 e5 Nf3 Nc6 Nc3 f5 d3 Nf6 Be2 d5 exd5 Nxd5 Nxd5 Qxd5 O-O Bd6 a3 O-O b4 Bd7 Bb2 Rae8 Nd2 a6 Bf3 Qf7 c4 b6 Bd5,Black moves the bishop to unpin the queen but leaves the knight on c6 undefended.,-335,441,776.0,"d5c6, e8d8, c4c5"
Rab8,b3 e5 Bb2 Nc6 e3 d5 c4 Nf6 d3 Bb4+ Nd2 O-O a3 Bxd2+ Qxd2 Be6 Nf3 e4 Nd4 Nxd4 Bxd4 b6 Be2 exd3 Qxd3 dxc4 bxc4 Qd7 O-O Rfd8 Bf3,Watch out for the bishop on f3!,184,29,-155.0,"d3c3, d7e7"
Bxa3,e4 e5 Nf3 Nc6 Bc4 h6 O-O Nf6 d3 Bc5 h3 O-O a3 a6 b4 Ba7 Bb2 d6 Nc3 Re8 b5 axb5 Bxb5 Bd7 a4 Nb4 Ba3 Bc5 Nd5 Bxb5 axb5 Nfxd5 exd5 Nxc2 Qxc2 Rxa3 Rxa3,"/ Il Nero incomincia ad avere un vantaggio sensibile, di materiale e di posizione",224,-224,-448.0,"c2c4, a3c5, g2g4"
cxd4,e4 e6 d4 d5 Nc3 Nf6 Bg5 Bb4 e5 h6 Be3 Ne4 Qg4 g5 h4 c5 Nge2 Qa5 O-O-O h5 hxg5 Nxc3 Nxc3 Bxc3 g6,"Non sembra esserci di meglio, ad esempio: 13... fxg6 14. Dxg6+ Rd8 15. Dg7 oppure 13... hxg4 14. Txh8+ Rd7 15. g7",-286,317,603.0,"h1h5, c3b2, c1b2"
Qd6,e4 c5 Bc4 e6 Nf3 a6 c3 d5 exd5 exd5 Bb3 Nc6 O-O Be7 Re1 Nf6 h3 O-O a4 h6 Bc2 b5 axb5 Na7 bxa6 Nc6 d4 c4 Nbd2 Bxa6 Nf1 Re8 Ne5,"This one stumps me a little. The computer wanted Nxe5 as the optimal move, but from what I can see it's just... still bad, but not quite as bad? I guess that makes sense, but the nuance of that kind of position is clearly not my strongest point. The analysis goes on for 16 moves in this line for a slightly less bad position for black, leading me to believe that the chess engine is far, far more advanced than any human likely has need for, now or in the near future.",-255,390,645.0,"e5c6, d6c6, c2a4"
Ne4,d4 f5 h3 d6 g4 fxg4 hxg4 Bxg4 Qd3 Nf6 Bg5 c6 Bxf6 gxf6 Rxh7 Rxh7 Qxh7 Qa5+ Nc3 Qg5,"A very sharp and offbeat line -> keep it on the board and go ham XD and allow 1. Nxd6 exd6, 2.Qxb7 Qa5+ 3.c3 Qb6, 4.Qxa8 Qxb2, 5.f3 Qxa1+!, 6.Kf2 -> danger level [%csl Ra8,Re1,Ra1,Rg4][%cal Gg5f5,Re4d6,Ge7d6,Rg7b7,Gf5a5,Ga5b6,Gb7a8,Gb6b2,Gf2f3,Ge1f2]",-2,6,8.0,"g5g7, h7g7, f8g7"
Ne7,d4 d5 Bf4 Nf6 Nf3 e6 Nbd2 Nh5 e3 Nxf4 exf4 Nc6 c3 b6 Bb5 Bd7 Ba6 f6 Nh4,"Correctly, defending against Nxg6 after Qh5+.",-21,50,71.0,"e1g1, g7g6, g2g3"
h4,e4 d6 d4 Nf6 Nc3 c6 f3 Nbd7 Be3 e5 Bd3 Be7 Nge2 O-O Qd2 b5 a3 a5,Black will get there first but White may not be there. So white wants to tempt black to play h6.,92,68,-24.0,e5d4
Qxc7,d4 e6 Nc3 Qf6 Nf3 Bb4 Bd2 Nc6 g3 Nxd4 Nxd4 Qxd4 e3 Qf6 Bg2 Bc5 O-O e5 Qe2 d6 Rad1 Bf5 Ne4 d5 Nxf6+ Nxf6 Qb5+ Nd7 Qxb7 Ke7,+7!!!!,769,-619,-1388.0,"h8c8, c7a5, f5c2"
Nd4,e4 e6 d4 d5 exd5 exd5 Nf3 Nc6 Bb5 Bd6 c4 dxc4 d5 a6 Ba4 b5 dxc6 bxa4 O-O Ne7 Nbd2 Be6 Qxa4 c3 Ne4 O-O Nxc3 Qb8,White decides to defend the c6 pawn & attacks the bishop on e6 at the same time,54,-56,-110.0,"b8b6, c1e3"
g4,e4 e5 Nf3 Nc6 Nc3 Bc5 Bc4 d6 d3 Bg4 h3 Bh5,Ruins the kingside. This is fine - as long as he does not castle kingside.,58,-18,-76.0,"h5g6, c3d5"
Nb6,e4 d6 d4 Nf6 Nc3 c6 f3 Nbd7 Be3 e5 Bd3 Be7 Nge2 O-O Qd2 b5 a3 a5 h4 Bb7 h5 b4 Nd1 c5 d5,"The threat is 14. ..., c4 trapping the Bishop so",-64,69,133.0,"e2g3, b7c8, a3b4"
fxe5,e4 e5 Nf3 f6 Nxe5,"This natural recapture is another blunder, 3....Qe7 is an improvement, and playable, although inferior for black.",-155,262,417.0,"d1h5, e8e7, h5e5"
Bxe1,e3 e5 d3 d5 a3 f6 Be2 c5 h3 d4 e4 Qa5+ Bd2 Qb6 Bc1 g6 c3 Nc6 c4 Be6 a4 O-O-O f3 f5 b3 Be7 Bd2 Bh4+ Kf1 Na5 Bc1 Nxb3 Ra2 Nxc1 Qxc1 Rd6 a5 Qb4 f4 exf4 e5 Ra6 Nf3 Bd8 Nfd2 Bxa5 Rb2 Qa4 Bd1 Qd7 Nf3 Ne7 Nfd2 Nc6 Be2 Nxe5 Ra2 Nc6 Nf3 Qe7 Qe1,"If it sounds too good to be true, but I don't see anything except for trading rooks.",1062,-1040,-2102.0,"a2a6, b7a6, f3e1"
Rxa3,e4 c5 Nf3 Nc6 d4 cxd4 Nxd4 Nf6 Nxc6 bxc6 Nc3 e5 Be2 Bb4 Bd2 O-O O-O a5 a3 Bc5 Bg5 a4 b3 axb3 Bc1 Bd4 Bd2 Nxe4 Qe1 Nxd2 Qxd2 Qa5 Ne4 Bxa1 Qxa5 Rxa5 Rxa1 bxc2 Rc1,"The pawn on c2 is at least temporarily immune because of the back-rank pin problem. If 21.Rxc2 Ra1+ 22.Bf1 Ba6 23.Ng3 Rb8 24.f3 Rbb1 either wins a piece, or after 25 Rf2 Black will eventually trade all the pieces to reach an easily won King and Pawn endgame, but he can push some of his pawns before making the trade.",636,-637,-1273.0,"e4g3, c8a6, c1c2"
Qf3,e4 e5 Bc4 Nf6,Not the best way to defend the pawn. Bringing the queen out early can leave her open to attack. 3. d3 or 3. Nc3 are both better.,9,33,24.0,"c7c6, b1c3, b7b5"
Nxe4,e4 e5 Nf3 Nf6 Nxe5 Qe7 Nf3 Nc6 d3 d5 Be2 dxe4 dxe4 Bd7 Nc3 O-O-O Bd2,Gone baby gone!!!,43,-35,-78.0,c3e4
Nc6,d4 d5 c4 Bd7 cxd5 Nf6 Nc3 e6 dxe6 Bxe6 e4 Bb4 Qa4+ Nc6 Nge2 Nxe4 a3 Bxc3+ bxc3 Qf6 f3 Ng5 Qc2 Bc4 Ng3 Bxf1 Kxf1 O-O-O Bxg5 Qxg5 Ne4 Qf4 Kf2 f5 Nc5 Nxd4 Qb2,An early Xmas present.,0,Mate,,b2b7
Rd1,e4 e5 Nf3 Nc6 Bc4 h6 d4 exd4 Nxd4 Nxd4 Qxd4 b6 Bxf7+ Kxf7 Qd5+ Ke8 Qxa8 Ne7 Qxa7 Nc6 Qa4 d5 Qxc6+ Bd7 Qg6+ Ke7 O-O Be8 Qf5 Kd6 Bf4+ Kc6,"I Really wanted to win that d5 pawn, it felt like it would give me all the necessary chances to go faster.",781,-727,-1508.0,"c6b7, b1c3, e8c6"
Qxe4,e4 c5 Nf3 Qa5 c3 d6 a4 Bg4 Bb5+ Bd7 b4 Qc7 h3 Bxb5 axb5 cxb4 Qb3 a6 Qxb4 a5 Qd4 Nf6 b6 Qc6 d3 e5 Qe3 a4 g4 Ra6 Nbd2 Rxb6 Nc4 Ra6 Ba3 d5 Ncxe5 Qxc3+ Ke2 dxe4 dxe4 Qc2+ Nd2 Re6 Rhc1,And blunders the queen lol! What does he have after Nxe4? Yeah....you got that right.... precisely NOTHING!!,-547,Mate,,c1c8
Qxc5,d4 e6 e3 d5 Nf3 f6 Bb5+ c6 Bd3 Nd7 Nc3 b5 O-O b4 Ne2 c5 dxc5 Nxc5 Ned4 Bb7 Bd2 a5 Bb5+ Kf7 c3 Ne7 cxb4 axb4 Bxb4 Qb6 Bxc5,"Because I'm at a +1 in terms of material, I decide it's probably safe to trade at this point.",-440,457,897.0,"b5d7, g7g6, d7e6"
Nd2,d4 Nf6 c4 e6 Nf3 Nc6 a3 d6 b4 e5 d5 Ne7 Nc3 Ng6 Qc2 Be7 e4 Bd7 Bd3 a6 h3 c6 Be3 Qc8 Rc1 O-O Na4 Bd8 Nb6 Bxb6 Bxb6 cxd5 exd5 e4,18. Nd2 - he saves his knight.,-333,501,834.0,"e4d3, c2d3, g6f4"
Qe2,e4 c5 Nf3 Nc6 d4 cxd4 Nxd4 e5 Nxc6 bxc6 c4 Bc5 Be2 Qh4 O-O Qxe4 Nc3 Qh4 g3 Qe7 Ne4 h6 Be3 Bb6 Nd6+ Kd8 c5 Bc7 Bc4 Bxd6 cxd6 Qf6 f4 e4,Lang over nagedacht. Db3 of Ld4 had ook gekund.,418,-176,-594.0,"f6d6, a1d1, d6e7"
Rxf5,e4 c6 Nf3 d5 d3 Bg4 h3 Bxf3 Qxf3 e5 c3 Nf6 Be2 Be7 O-O O-O c4 d4 Qg3 Nfd7 f4 Bh4 Qg4 Be7 f5 Nf6 Qg3 Nbd7 Bh6 g6 Bxf8 Nxf8 Nd2 Nf8d7 Rfb1 b5 b4 a5 a4 Bxb4 Ra2 Bxd2 Rxd2 bxc4 dxc4 Nxe4 Qe1 Nxd2 Qxd2 gxf5 Qh6 Qf6 Qh5 e4 Rf1 d3 Bg4 Qg6,"I...forgot about that pawn by now. Maybe started feeling the pressure again, right after I gained some chances earlier.",-470,499,969.0,"g6h5, g4h5, e4e3"
Rxf2,c3 e5 g3 Nc6 a3 d5 h3 Be6 e3 Qd7 b4 Bd6 Bb5 a6 Bxc6 Qxc6 Nf3 d4 cxd4 Bd5 Ng5 Bxh1 Bb2 O-O-O Nxf7 Rf8 Nxh8,"The rook was going to be useless, so I sacrificed it.",460,-376,-836.0,"d1g4, c8b8, b1c3"
e4,,"All my 'analysis' consists of the thoughts that I wrote down at the time, some just immediate stream of consciousness, others flights of fancy & an occasional genuine attempt to work out plausible variations. I generally try to go back after the game and see how this compares with any analysis by Gameknot's engine to see what I or my opponent did differently or to compare the body of established opening theory. I offer to share with opponent so that they can defend themselves and if so, I make it public - otherwise, it just stays as a private testimony to how far awry my own bizarre thought processes are!",,-31,,"e7e5, g1f3"
e5,d4 Nf6 c4 g6 Nc3 Bg7 e4 d6 Nf3 O-O Be2,"options for white are to trade (least desirable), close the center or continue developing. White chooses the latter.",-50,49,99.0,d4d5
a3,e4 g6 d4 Bg7 Nc3 Nc6 Be3 d5 Nf3 dxe4 Nxe4 Nh6 d5 Nb4 Qd2 a5,Il bianco non si fida ad entrare nelle complicazioni conseguenti a 9. Axh6 Axh6 10. Dxh6 Cxc2+ 11. Rd1 Dxd5+ 12. Rxc2 Af5 con posizione poco chiara (ma non necessariamente cattiva per il bianco),142,-52,-194.0,"d8d5, a3b4"
Ba4,e4 e5 Nf3 Nc6 d4 exd4 Nxd4 Nxd4 Qxd4 c5 Qc4 Nf6 Nc3 d6 Bg5 Be6 Qb5+ Qd7 O-O-O Qxb5 Bxb5+ Nd7 Kb1 f6 Bf4 a6,?,134,216,82.0,"b7b5, a4b5, a6b5"
Nc6,e4 c5 f4 d6 d4 cxd4 Bc4 e5 Nf3 Nf6 Ng5 Be6 Bxe6 fxe6 Nxe6 Qd7 Nxf8 Rxf8 O-O Kf7 fxe5 dxe5 Qh5+ Kg8 Qxe5,"If the queen is in the center of the board and finds herself battling the op's queen, the decision is to either equalize the queens into rooks and less; or capitalize on moving to a stronger position. I didn't see any and had anticipated this sort of trade out eventually with our queens. The King's Gambit makes chess beyond 8 moves eccentrically complicated. That's why I ALWAYS use the King's Gambit against Ruy Lopez! Ruy Lopez is slow and long and tiring to do while the Gambit suddenly sharpens the board into few critical moves in messes created by King's Gambit offense!",14,-12,-26.0,"e5b5, a7a6"
f4,Nf3 d6 d4 Nf6 c4 g6 Nc3 Bg7 e4 O-O Be2 Bg4 Be3 Nbd7 O-O Bxf3 Bxf3 e5 d5 a6 b4 b6 a4 h5 Qd2 Kh7 Be2 Ng8,Launching a kingside attack. The risk is an attack of the white king by the DSB but white estimates that it's ok,116,40,-76.0,e5f4
cxd4,e4 c5 Nc3 Nc6 f4 g6 Nf3 Bg7 Bb5 Nd4 O-O a6 Bd3 d6 Nxd4,"To my surprise, Black doubles his pawns, instead of taking with the bishop. Black does gain a tempo though with this move.",14,-11,-25.0,c3e2
Bf5+,d4 d5 c4 c6 cxd5 cxd5 Nc3 Nf6 Nf3 Nc6 Bf4 e6 e3 Bd6 Bg3 Ne4 Nxe4 dxe4 Nd2 Bxg3 hxg3 e5 dxe5 Qa5 Qb3 Qxe5 Be2 Qe7 Rc1 O-O Nxe4 Qxe4 Bd3 Qb4+ Qxb4 Nxb4 Bxh7+ Kh8 Bb1+ Kg8 Rc4 a5 Bh7+ Kh8,Impedendo la spinta in f5 il bianco vince. Vediamo: 23...Rg8 24. Tch4 e ora a) 24... f6 25. Ag6! b) 24... g6 25. Th8+ Rg7 26. T1h7+ Rf6 27. Txf8 e vince,507,-496,-1003.0,"h8g8, c4h4, g7g5"
Nc6,c4,"An unconventional response to the English Opening. Since White usually plays c4 in d4 openings, transposition between the two is easy; therefore Black tends to avoid ...Nc6 so as to keep the c-pawn free.",-11,61,72.0,"d2d4, e7e5, d4d5"
Be7,e4 e5 Nf3 Nc6 Bc4 Bc5 Nc3 Nf6 d3 O-O Bg5 h6 Bh4,"Ok, until this point the games has been pretty straight forward in the opening. However, with the bishop retreating to e7 I receive a development advantage which I failed to capitalize on.",-17,10,27.0,a2a4
e5,d4 Nc6 Nc3 Nf6 Nf3 h5 Be3 g6 g3 Bh6 h4 d6 Bg2 Bf5 Nb5 O-O c3,Pawn,291,534,243.0,"e3h6, f6g4, h6c1"
